V18.0,2009-08-26,Cleiton Pinheiro,"(cid:1) MSISDN Structure
(cid:1) MSRN Structure
(cid:1) Contact List Update"
V19.0,2009-10-26,Cleiton Pinheiro,"(cid:1) MSISDN Structure
(cid:1) MSRN Structure
(cid:1) GT Addresses (E164) of Entities Updated
(cid:1) Contact List Update"
V20.0,2009-12-23,Cleiton Pinheiro,"(cid:1) GT Addresses (E164) of Entities Updated
(cid:1) IP Address Update
(cid:1) Contact List Update"
V21.0,2010-02-11,Cleiton Pinheiro,"(cid:1) MSISDN Structure
(cid:1) MSRN Structure
(cid:1) GT Addresses (E164) of Entities Updated
(cid:1) Contact List Update"
V22.0,2010-03-31,Cleiton Pinheiro,"(cid:1) MSISDN Structure
(cid:1) MSRN Structure
(cid:1) GT Addresses (E164) of Entities Updated"
V23.0,2010-05-03,Cleiton Pinheiro,"(cid:1) New Signaling DPCs (by invitation only)
(cid:1) Signal diagram, Node and SCCP Info
(cid:1) Contact List Update
(cid:1) MSISDN Structure
(cid:1) GT Addresses (E164) of Entities Updated"
V24.0,2010-05-19,Cleiton Pinheiro,(cid:1) GPRS IP Address Update
V25.0,2010-06-25,Cleiton Pinheiro,"(cid:1) MSISDN Structure
(cid:1) GT Addresses (E164) of Entities Updated"
V26.0,2010-07-06,Cleiton Pinheiro,"(cid:1) MSISDN Structure
(cid:1) MSRN Structure
(cid:1) GT Addresses (E164) of Entities Updated"
V27.0,2010-08-24,Cleiton Pinheiro,"(cid:1) MSISDN Structure
(cid:1) GT Addresses (E164) of Entities Updated
(cid:1) Contact List Update"
V28.0,2010-09-22,Carlla Faria,"(cid:1) MSISDN Structure
(cid:1) GT Addresses (E164) of Entities Updated"
V29.0,2010-10-25,Carlla Faria,(cid:1) MSISDN Structure
V30.0,2010-11-24,Carlla Faria,"(cid:1) IP address Update
(cid:1) MSISDN Structure"
V31.0,2011-01-03,Carlla Faria,"(cid:1) MSISDN Structure
(cid:1) MSRN Structure
(cid:1) GT Addresses (E164) of Entities Updated
(cid:1) Contact List Update"
V32.0,2011-02-28,Carlla Faria,"(cid:1) MSISDN Structure
(cid:1) GT Addresses (E164)
(cid:1) Contact List Update"
V33.0,2011-05-04,Carlla Faria,"(cid:1) MSISDN Structure
(cid:1) GT Addresses (E164)"
V34.0,2011-06-15,Carlla Faria,"(cid:1) MSISDN Structure
(cid:1) GT Addresses (E164)
(cid:1) Contact List Update"
V35.0,2011-08-24,Carlla Faria,"(cid:1) IP address Update
(cid:1) MSISDN Structure
(cid:1) GT Addresses (E164)
(cid:1) Contact List Update"
V36.0,2011-11-09,Carlla Faria,"(cid:1) MSISDN Structure
(cid:1) MSRN Structure
(cid:1) GT Addresses (E164) of Entities Updated"
V37.0,2011-11-25,Carlla Faria,(cid:1) New Inter PLMN GSN Backbone IP address
