Interworking Specifically for Roaming,Column_2,Column_3,Column_4,Column_5
Application Context Name,Current version in,,,Comments
,Inbound Roaming,,"Outbound
Roaming",
,MSC/VLR,SGSN,,
networkLocUp,V3,,V3,
roamingNumberEnquiry,V3,,V3,
infoRetrieval,V3,,V3,
subscriberDataMngt,V3,,V3,
networkFunctionalSs,V3,,V3,
mwdMngt,V3,,V3,
"shortMsgMT-Relay
(called shortMsgRelay in v1)",V3,,V3,
"shortMsgMO-Relay
(called shortMsgRelay in v1)",,,,
ss-InvocationNotification,,,,
subscriberInfoEnquiry,,,,
gprsLocationUpdate,,,,
locationCancellation,V3,,V3,
msPurging,,,,
reset,,,,
networkUnstructuredSs,,,,
reporting,,,,
callCompletion,,,,
istAlerting,,,,
serviceTermination,,,,
locationSvcGateway,,,,
mm-EventReporting,,,,
authenticationFailureReport,,,,
imsiRetrieval,,,,
