Operator name: 1,Column_2,Column_3,AIRTEL NETWORKS ZAMBIA Plc.,Column_5,Column_6
"Country
(Abbreviated according to ISO
3166):",,,ZMB,,
ROUTING INFORMATION,,,,,
CCITT E.164 Number series:,,"Country Code
(CC)",,,"National Destination Code
(NDC)"
,,260,,,97
MSRN number range(s):,,See Misc.,,,
E.212 Number series:,,"Mobile Country Code
(MCC)",,,"Mobile Network Code
(MNC)"
,,645,,,01
"E.214 Mobile Global
Title: (MGT)",,"Country Code of MGT 2
(CC)",,,"Network Code of MGT
(NC)"
,,260,,,97
Does Number Portability apply3?,,,,NO,
ITU INTERNATIONAL SCCP GATEWAY,,,,,
"Name of SCCP
Carrier: BELGACOM* BELGACOM*
Signature: [1] BRUSSEL/H BRUSSEL/I
Type: [2] STAND ALONE ISTP STAND ALONE ISTP
International DPC: 2-013-1 2-014-7
*For ITU to ITU conversion.",BELGACOM*,,,,BELGACOM*
,BRUSSEL/H,,,,BRUSSEL/I
,STAND ALONE ISTP,,,,STAND ALONE ISTP
,2-013-1,,,,2-014-7
