Node type,Node ID,GT address / Address range,"IP address /
Address range","IPv6 address /
Address range",Vendor info,"SW / HW
version","UTC
offset"
SGW,R8CAS1VGSP,,200.95.160.160/32,,,,-06:00
SGW,R8CAS1VGSP,,200.95.160.161/32,,,,-06:00
SGW,R8CAS1VGSP,,200.95.160.162/32,,,,-06:00
SGW,R8CAS1VGSP,,200.95.160.163/32,,,,-06:00
SGW,R8CAS1VGSP,,200.95.160.164/32,,,,-06:00
SGW,R8CAS1VGSP,,200.95.160.165/32,,,,-06:00
SGW,R8CAS1VGSP,,200.95.160.166/32,,,,-06:00
SGW,R8CAS1VGSP,,200.95.160.167/32,,,,-06:00
SGW,R8CAS1VGSP,,200.95.160.168/32,,,,-06:00
SGW,R8CAS1VGSP,,200.95.160.169/32,,,,-06:00
SGW,R8CAS1VGSP,,200.95.160.170/32,,,,-06:00
SGW,R8CAS1VGGSN,,200.95.160.181/32,,,,-06:00
SGW,R8CAS1VGGSN,,200.95.160.182/32,,,,-06:00
SGW,R8CAS1VGGSN,,200.95.160.183/32,,,,-06:00
SGW,R8CAS1VGGSN,,200.95.160.184/32,,,,-06:00
SGW,R8CAS1VGGSN,,200.95.160.185/32,,,,-06:00
SGW,R1LOM1GSP,,200.95.160.8,,,,-06:00
SGW,R1LOM1GSP,,200.95.160.9,,,,-06:00
SGW,R1LOM1GSP,,200.95.160.10,,,,-06:00
SGW,R1LOM1GSP,,200.95.160.11,,,,-06:00
SGW,R2CLN1GSP,,200.95.160.231,,,,-06:00
SGW,R2CLN1GSP,,200.95.160.232,,,,-06:00
SGW,R2CLN1GSP,,200.95.160.233,,,,-06:00
SGW,R2CLN1GSP,,200.95.160.234,,,,-06:00
SGW,R2CLN1VGSP,,200.95.160.193,,,,-06:00
SGW,R2CLN1VGSP,,200.95.160.194,,,,-06:00
SGW,R2CLN1VGSP,,200.95.160.195,,,,-06:00
SGW,R2CLN1VGSP,,200.95.160.196,,,,-06:00
SGW,R2CLN1VGSP,,200.95.160.197,,,,-06:00
SGW,R2CLN1VGSP,,200.95.160.198,,,,-06:00
SGW,R2CLN1VGSP,,200.95.160.114,,Ericsson,,-06:00
SGW,R2CLN1VGSP,,200.95.160.115,,Ericsson,,-06:00
SGW,R2CLN1VGSP,,200.95.160.116,,Ericsson,,-06:00
SGW,R2GAR1VGSP,,200.95.160.201,,Ericsson,,-06:00
SGW,R2GAR1VGSP,,200.95.160.202,,Ericsson,,-06:00
SGW,R2GAR1VGSP,,200.95.160.203,,Ericsson,,-06:00
SGW,R2GAR1VGSP,,200.95.160.204,,Ericsson,,-06:00
SGW,R2GAR1VGSP,,200.95.160.205,,Ericsson,,-06:00
SGW,R2GAR1VGSP,,200.95.160.206,,Ericsson,,-06:00
SGW,R2GAR1VGSP,,200.95.160.84,,Ericsson,,-06:00
SGW,R2GAR1VGSP,,200.95.160.85,,Ericsson,,-06:00
SGW,R2GAR1VGSP,,200.95.160.86,,Ericsson,,-06:00
SGW,R4REV1VGSP,,201.144.195.233,,Cisco,,-06:00
SGW,R4REV1VGSP,,201.144.195.236,,Cisco,,-06:00
SGW,R4REV1VGSP,,201.144.195.237,,Cisco,,-06:00
SMSC,SMSC1,52 94100001410,,,Logica CMG,4.3,-06:00
SMSC,CUASM1,52 94100001420,,,Logica CMG,4.3,-06:00
SMSC,CUASM2,52 94100001430,,,Logica CMG,4.3,-06:00
SMSC,CUASM3,52 94100001450,,,ACISION,,-06:00
SMSC,CUASM4,52 94100001460,,,ACISION,,-06:00
SMSC,SMTXC1,52 94100001470,,,,,-06:00
SMSC,POPUS1,52 94100005310,,,,,-06:00
SMSC,,52 94100062230,,,ACISION,,-06:00
SMSC,MLSSM2,52 94100062420,,,Logica CMG,4.3,-06:00
SMSC,MLSSM3,52 94100062430,,,Logica CMG,4.3,-06:00
SMSC,SMTXB1,52 94100062440,,,,,-06:00
SMSC,MLSSM2,52 94100062450,,,Logica CMG,4.3,-06:00
SMSC,MLSSM6,52 94100062460,,,ACISION,,-06:00
SMSC,ITHUS1,52 94100089310,,,,,-06:00
SMSC,iSMSc,52 94100112230,,,-,-,-06:00
SMSC,ISMSC02,52 94100112380,,,,,-06:00
SMSC,,52 94100135990,,,,,-06:00
SMSC,,52 94100136000,,,,,-06:00
SMSC,,52 94100136040,,,,,-06:00
SMSC,MRSNP3,52 94100149430,,,,,-06:00
