TADIG code:,OMNVF
Network name:,Vodafone Oman
Network type:,Terrestrial
Technology:,Frequency list:
2G-GSM frequencies:,GSM 900
3G-UTRA/FDD frequencies:,Unsupported
3G-UTRA/TDD frequencies:,Unsupported
4G-E-UTRAN frequencies:,"1 - IMT 2.1 GHz, 3 - DCS 1800, 8 - 900 MHz, 28 - 700 MHz APAC"
4G-E-UTRAN-MIoT-LTE-M frequencies:,Unsupported
4G-E-UTRAN-MIoT-NB-IoT frequencies:,Unsupported
MIoT-NB-IoT deployment modes:,Unsupported
5G NR frequencies:,Unsupported
Other technology - 5G-NR:,"28 - 700 MHz, 41 - 2.6 GHz"
Presentation of country initials and MNN:,Vodafone OMN
Abbreviated MNN:,Vodafone
